File Name,Crack widths (px)
Detail_03_TestNeuesSkript.tif,"[18.         18.59126028 19.26029163 19.54065923 19.63330765 19.26029163
 19.26029163 19.54065923 18.59126028 18.39607805 16.97366596  2.
  0.82842712  2.47213595  4.32455532  6.24621125  8.19803903 10.16552506
 12.         13.23154621 14.1245155  14.97056275 15.20465053 15.88854382
 16.43908891 16.43908891 15.88854382 15.20465053 15.88854382 16.43908891
 15.88854382 15.20465053 15.88854382 15.08800749 15.20465053 15.08800749
 14.97056275 14.4924225  14.1245155  14.1245155  14.1245155  13.23154621
 13.62049935 12.4222051  12.14213562 10.16552506  8.19803903  6.24621125
  4.32455532  2.47213595  0.82842712  2.         19.26029163 20.36067977
 20.8035085  21.32380758 22.08318916 22.08318916 22.41311123 23.05992817
 22.41311123 22.41311123 23.05992817 23.05992817 22.41311123 22.08318916
 22.41311123 22.41311123 22.08318916 22.08318916 21.32380758 20.627417
 20.36067977 19.63330765 19.26029163 19.26029163 19.26029163 19.26029163
 19.26029163 18.59126028 18.         18.59126028 19.26029163 18.59126028
 18.59126028 19.26029163 19.26029163 19.54065923 19.63330765 19.54065923
 20.36067977 19.63330765 20.8035085  20.36067977 21.32380758 20.8035085
 21.32380758 22.08318916 21.40939982 22.16609195 22.16609195 22.16609195
 22.73863375 22.16609195 23.05992817 22.73863375 23.05992817 23.05992817
 23.05992817 23.05992817 22.73863375 23.05992817 22.16609195 23.05992817
 22.16609195 22.41311123 22.16609195 22.16609195 21.40939982 22.08318916
 20.8035085  20.627417   20.36067977 19.54065923 19.26029163 18.59126028
 17.6977156  16.86796226 16.43908891 15.88854382 15.20465053 14.97056275
 14.97056275 14.97056275 14.97056275 15.20465053 15.88854382 16.43908891
 16.86796226 17.6977156  18.         18.59126028 19.54065923 20.36067977
 20.627417   20.8035085  21.32380758 22.08318916 22.08318916 22.08318916
 22.08318916 22.08318916 20.8035085  20.36067977 19.63330765 18.
 13.23154621 14.97056275 15.88854382 16.86796226 17.6977156  18.
 18.59126028 19.54065923 20.         19.54065923 20.36067977 20.36067977
 20.36067977 20.8035085  20.36067977 20.8035085  20.8035085  20.36067977
 20.8035085  20.36067977 20.36067977 20.8035085  20.36067977 20.36067977
 20.8035085  20.36067977 20.36067977 20.8035085  20.36067977 20.36067977
 20.8035085  20.36067977 20.36067977 20.36067977 19.63330765 19.63330765
 20.36067977 19.63330765 19.26029163 19.26029163 18.59126028 18.
 17.79898987 17.6977156  16.86796226 15.88854382 15.20465053 14.97056275
 14.97056275 14.97056275 14.97056275 14.1245155  13.62049935 13.62049935
 13.62049935 14.1245155  13.62049935 13.62049935 14.1245155  13.62049935
 14.1245155  14.1245155  14.1245155  14.1245155  14.1245155  14.1245155
 13.62049935 14.1245155  13.23154621 13.62049935  2.         13.23154621
 13.23154621  2.         12.56021978 12.14213562  4.32455532 12.14213562
  6.94427191 11.41640786 10.80624847  9.66190379 10.64911064  9.66190379]"
Detail_03_TestNeuesSkript_blurred-skeletonized.tif,"[13.23154621 13.23154621 16.         16.43908891 16.86796226 17.6977156
 17.79898987 17.79898987 17.79898987 17.79898987 17.79898987 18.
 18.59126028 18.         17.79898987 18.         18.59126028 19.26029163
 18.59126028 18.59126028 19.26029163 19.26029163 19.26029163 19.63330765
 19.26029163 19.26029163 19.63330765 19.26029163 18.88061302 15.08800749
 16.43908891 16.86796226 17.6977156  16.86796226 17.6977156  17.79898987
 17.79898987 17.6977156  17.79898987 17.79898987 17.79898987 17.79898987
 17.79898987 17.6977156  17.79898987 17.79898987 17.79898987 17.79898987
 17.79898987 17.79898987 17.79898987 17.79898987 18.         18.
 17.79898987 18.         18.59126028 18.         18.59126028 18.59126028
 18.59126028 19.26029163 18.59126028 19.54065923 18.59126028 19.54065923
 18.59126028 19.54065923 18.59126028 19.54065923 18.88061302 19.54065923
 19.54065923 19.54065923 19.54065923 18.88061302 19.54065923 18.59126028
 19.54065923 18.59126028 19.54065923 18.59126028 19.54065923 18.59126028
 19.54065923 18.59126028 19.54065923 18.59126028 19.54065923 18.59126028
 19.26029163 18.59126028 18.59126028 18.59126028 18.         17.79898987
 18.         18.         17.79898987 17.79898987 17.79898987 17.79898987
 17.79898987 17.79898987 17.79898987 17.79898987 17.79898987 17.79898987
 17.79898987 17.79898987 17.79898987 17.79898987 17.79898987 17.79898987
 17.79898987 17.79898987 17.6977156  16.86796226 16.43908891 16.43908891
 16.43908891 15.88854382 16.43908891 17.6977156  18.         18.
 18.88061302 18.59126028 19.54065923 18.59126028 18.88061302 18.88061302
 18.59126028 18.59126028 18.59126028 18.59126028 19.26029163 18.59126028
 18.59126028 18.59126028 18.         18.59126028 18.         18.
 18.59126028 18.         18.         18.59126028 18.         17.79898987
 18.         18.         17.79898987 17.79898987 17.79898987 18.
 17.79898987 17.6977156  17.79898987 17.79898987 17.79898987 17.79898987
 17.79898987 17.6977156  17.79898987 17.79898987 17.79898987 17.79898987
 17.6977156  17.79898987 18.         17.79898987 17.79898987 18.
 18.59126028 18.         18.59126028 18.59126028 18.59126028 19.26029163
 18.59126028 18.59126028 18.59126028 18.88061302 19.26029163 19.54065923
 19.54065923 19.54065923 19.54065923 19.54065923 19.54065923 19.54065923
 18.59126028]"
